Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
26/02/2019,39.26,0,0,0,0,0
27/02/2019,55,0,0,5.34,0,2.64
27/02/2019,45.06,0,0,0,0,0.02
28/02/2019,9.76,0,0,8.08,0,0
1/3/2019,0,0,0,0,0,0.07
1/3/2019,4.17,0,0,7.08,0,0
2/3/2019,4.24,0,0,7.06,0,0
3/3/2019,8.23,0,0,7.18,0,0
3/3/2019,0,0,0,0,0,0.34
4/3/2019,10.36,0,0,6.59,0,0.68
5/3/2019,11.2,0,0,5.81,0,0
6/3/2019,12.13,0,0,5.65,0,1.67
6/3/2019,9.9,0,0,0,0,1.77
7/3/2019,12.43,0,0,6.78,0,0
8/3/2019,10.73,0,0,7.08,0,0
8/3/2019,42.38,0,0,0,0,1.26
9/3/2019,26.77,0,0,6.88,0,0
9/3/2019,28.05,0,0,7.61,0,0.26
10/3/2019,28.6,0,0,7.88,0,0
10/3/2019,30.37,0,0,7.57,0,0.17
11/3/2019,11.47,0,0,8,0,0.04
12/3/2019,6.97,0,0,7.72,0,0
13/03/2019,1,0,0,7.41,0,0.12
14/03/2019,21.3,0,0,5.73,0,0
14/03/2019,9.13,0,0,0,0,0
15/03/2019,26.45,0,0,8.37,0,0
15/03/2019,33.58,0,0,0,0,0
16/03/2019,32.58,0,0,8.37,0,0
17/03/2019,12.4,0,0,8.57,0,0
17/03/2019,14.94,0,0,8.46,0,0.18
18/03/2019,7.08,0,0,7.97,0,0.02
19/03/2019,1,0,0,7.74,0,0
20/03/2019,9.6,0,0,8.11,0,0.19
21/03/2019,9.72,0,0,7.88,0,0
22/03/2019,9.44,0,0,7.77,0,0
23/03/2019,7.06,0,0,7.81,0,0
24/03/2019,14.07,0,0,6.15,0,0
25/03/2019,19.59,0,0,8.33,0,0
25/03/2019,20.5,0,0,5.3,0,1.02
25/03/2019,13.96,0,0,8.2,0,0
26/03/2019,21.1,0,0,8.26,0,0
26/03/2019,3.12,0,0,0,0,0
27/03/2019,25.12,0,0,5.14,0,0.06
27/03/2019,25.58,0,0,8.66,0,0
28/03/2019,23.34,0,0,7.51,0,0
28/03/2019,21.94,0,0,0,0,0
29/03/2019,12.14,0,0,8.27,0,0
29/03/2019,0,0,0,0,0,0.05
29/03/2019,8.57,0,0,0,0,0
30/03/2019,7.86,0,0,5.58,0,0
31/03/2019,28.59,0,0,8.25,0,0
31/03/2019,3.29,0,0,0,0,0.02
1/4/2019,5.83,0,0,8.25,0,0.48
2/4/2019,1,0,0,8.15,0,0
3/4/2019,10.08,0,0,7.8,0,0.11
4/4/2019,1,0,0,8.85,0,0
5/4/2019,1,0,0,8.77,0,0
6/4/2019,11.52,0,0,6.6,0,0
6/4/2019,10.82,0,0,5.38,0,0.34
7/4/2019,9.81,0,0,7.96,0,0
8/4/2019,13.24,0,0,8.21,0,0.05
8/4/2019,23.19,0,0,0,0,0
9/4/2019,7.83,0,0,7.65,0,0
